Name,RollNumber,Branch,Year,CurrentCourse,Course1,Grade1,Course2,Grade2
Vivaan Jain,MT21402,ECE,2021,202,DBMS,7,920,8
Aditya Jain,PhD21403,CSAM,2022,OS,601,8,SEC,9
Vihaan Jain,MT21404,CSD,2023,401,ML,9,111,10
Arjun Jain,MT21405,CSB,2020,DBMS,815,10,COA,6
Sai Jain,PhD21406,CSE,2021,601,CV,6,333,7
Arnav Jain,MT21407,ECE,2022,ML,1005,7,WEB,8
Ayaan Jain,MT21408,CSAM,2023,815,TOC,8,555,9
Krishna Jain,PhD21409,CSD,2020,CV,222,9,CLOUD,10
Ishaan Jain,MT21410,CSB,2021,1005,ALGO,10,777,6
Shaurya Jain,MT21411,CSE,2022,TOC,444,6,CYBER,7
Atharv Jain,PhD21412,ECE,2023,222,MOBILE,7,999,8
Advik Jain,MT21413,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Jain,MT21414,CSD,2021,444,IOT,9,101,10
Reyansh Jain,PhD21415,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Jain,MT21416,CSE,2023,666,GAME,6,303,7
Diya Jain,MT21417,ECE,2020,IOT,1111,7,CN,8
Saanvi Jain,PhD21418,CSAM,2021,888,OOPD,8,523,9
Ananya Jain,MT21419,CSD,2022,GAME,202,9,AI,10
Pari Jain,MT21420,CSB,2023,1111,OS,10,702,6
Navya Jain,PhD21421,CSE,2020,OOPD,401,6,NLP,7
Angel Jain,MT21422,ECE,2021,202,DBMS,7,920,8
Ira Jain,MT21423,CSAM,2022,OS,601,8,SEC,9
Prisha Jain,PhD21424,CSD,2023,401,ML,9,111,10
Anaya Jain,MT21425,CSB,2020,DBMS,815,10,COA,6
Ravi Jain,MT21426,CSE,2021,601,CV,6,333,7
Priya Jain,PhD21427,ECE,2022,ML,1005,7,WEB,8
Amit Jain,MT21428,CSAM,2023,815,TOC,8,555,9
Sneha Jain,MT21429,CSD,2020,CV,222,9,CLOUD,10
Karan Jain,PhD21430,CSB,2021,1005,ALGO,10,777,6
Nisha Jain,MT21431,CSE,2022,TOC,444,6,CYBER,7
Rahul Jain,MT21432,ECE,2023,222,MOBILE,7,999,8
Divya Jain,PhD21433,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Jain,MT21434,CSD,2021,444,IOT,9,101,10
Rohan Jain,MT21435,CSB,2022,MOBILE,888,10,DSA,6
Anjali Jain,PhD21436,CSE,2023,666,GAME,6,303,7
Vikram Jain,MT21437,ECE,2020,IOT,1111,7,CN,8
Pooja Jain,MT21438,CSAM,2021,888,OOPD,8,523,9
Aryan Jain,PhD21439,CSD,2022,GAME,202,9,AI,10
Kavya Jain,MT21440,CSB,2023,1111,OS,10,702,6
Aakash Jain,MT21441,CSE,2020,OOPD,401,6,NLP,7
Simran Jain,PhD21442,ECE,2021,202,DBMS,7,920,8
Varun Jain,MT21443,CSAM,2022,OS,601,8,SEC,9
Tanvi Jain,MT21444,CSD,2023,401,ML,9,111,10
Nikhil Jain,PhD21445,CSB,2020,DBMS,815,10,COA,6
Ritu Jain,MT21446,CSE,2021,601,CV,6,333,7
Siddharth Jain,MT21447,ECE,2022,ML,1005,7,WEB,8
Neha Jain,PhD21448,CSAM,2023,815,TOC,8,555,9
Kunal Jain,MT21449,CSD,2020,CV,222,9,CLOUD,10
Shruti Jain,MT21450,CSB,2021,1005,ALGO,10,777,6
Aarav Nair,2021004,CS,2022,TOC,444,6,CYBER,7
Vivaan Nair,MT21452,ECE,2023,222,MOBILE,7,999,8
Aditya Nair,MT21453,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Nair,PhD21454,CSD,2021,444,IOT,9,101,10
Arjun Nair,MT21455,CSB,2022,MOBILE,888,10,DSA,6
Sai Nair,MT21456,CSE,2023,666,GAME,6,303,7
Arnav Nair,PhD21457,ECE,2020,IOT,1111,7,CN,8
Ayaan Nair,MT21458,CSAM,2021,888,OOPD,8,523,9
Krishna Nair,MT21459,CSD,2022,GAME,202,9,AI,10
Ishaan Nair,PhD21460,CSB,2023,1111,OS,10,702,6
Shaurya Nair,MT21461,CSE,2020,OOPD,401,6,NLP,7
Atharv Nair,MT21462,ECE,2021,202,DBMS,7,920,8
Advik Nair,PhD21463,CSAM,2022,OS,601,8,SEC,9
Pranav Nair,MT21464,CSD,2023,401,ML,9,111,10
Reyansh Nair,MT21465,CSB,2020,DBMS,815,10,COA,6
Aaradhya Nair,PhD21466,CSE,2021,601,CV,6,333,7
Diya Nair,MT21467,ECE,2022,ML,1005,7,WEB,8
Saanvi Nair,MT21468,CSAM,2023,815,TOC,8,555,9
Ananya Nair,PhD21469,CSD,2020,CV,222,9,CLOUD,10
Pari Nair,MT21470,CSB,2021,1005,ALGO,10,777,6
Navya Nair,MT21471,CSE,2022,TOC,444,6,CYBER,7
Angel Nair,PhD21472,ECE,2023,222,MOBILE,7,999,8
Ira Nair,MT21473,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Nair,MT21474,CSD,2021,444,IOT,9,101,10
Anaya Nair,PhD21475,CSB,2022,MOBILE,888,10,DSA,6
Ravi Nair,MT21476,CSE,2023,666,GAME,6,303,7
Priya Nair,MT21477,ECE,2020,IOT,1111,7,CN,8
Amit Nair,PhD21478,CSAM,2021,888,OOPD,8,523,9
Sneha Nair,MT21479,CSD,2022,GAME,202,9,AI,10
Karan Nair,MT21480,CSB,2023,1111,OS,10,702,6
Nisha Nair,PhD21481,CSE,2020,OOPD,401,6,NLP,7
Rahul Nair,MT21482,ECE,2021,202,DBMS,7,920,8
Divya Nair,MT21483,CSAM,2022,OS,601,8,SEC,9
Meera Nair,PhD21484,CSD,2023,401,ML,9,111,10
Rohan Nair,MT21485,CSB,2020,DBMS,815,10,COA,6
Anjali Nair,MT21486,CSE,2021,601,CV,6,333,7
Vikram Nair,PhD21487,ECE,2022,ML,1005,7,WEB,8
Pooja Nair,MT21488,CSAM,2023,815,TOC,8,555,9
Aryan Nair,MT21489,CSD,2020,CV,222,9,CLOUD,10
Kavya Nair,PhD21490,CSB,2021,1005,ALGO,10,777,6
Aakash Nair,MT21491,CSE,2022,TOC,444,6,CYBER,7
Simran Nair,MT21492,ECE,2023,222,MOBILE,7,999,8
Varun Nair,PhD21493,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Nair,MT21494,CSD,2021,444,IOT,9,101,10
Nikhil Nair,MT21495,CSB,2022,MOBILE,888,10,DSA,6
Ritu Nair,PhD21496,CSE,2023,666,GAME,6,303,7
Siddharth Nair,MT21497,ECE,2020,IOT,1111,7,CN,8
Neha Nair,MT21498,CSAM,2021,888,OOPD,8,523,9
Kunal Nair,PhD21499,CSD,2022,GAME,202,9,AI,10
Shruti Nair,MT21500,CSB,2023,1111,OS,10,702,6
Aarav Mehta,MT21501,CSE,2020,OOPD,401,6,NLP,7
Vivaan Mehta,PhD21502,ECE,2021,202,DBMS,7,920,8
Aditya Mehta,MT21503,CSAM,2022,OS,601,8,SEC,9
Vihaan Mehta,MT21504,CSD,2023,401,ML,9,111,10
Arjun Mehta,PhD21505,CSB,2020,DBMS,815,10,COA,6
Sai Mehta,MT21506,CSE,2021,601,CV,6,333,7
Arnav Mehta,MT21507,ECE,2022,ML,1005,7,WEB,8
Ayaan Mehta,PhD21508,CSAM,2023,815,TOC,8,555,9
Krishna Mehta,MT21509,CSD,2020,CV,222,9,CLOUD,10
Ishaan Mehta,MT21510,CSB,2021,1005,ALGO,10,777,6
Shaurya Mehta,PhD21511,CSE,2022,TOC,444,6,CYBER,7
Atharv Mehta,MT21512,ECE,2023,222,MOBILE,7,999,8
Advik Mehta,MT21513,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Mehta,PhD21514,CSD,2021,444,IOT,9,101,10
Reyansh Mehta,MT21515,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Mehta,MT21516,CSE,2023,666,GAME,6,303,7
Diya Mehta,PhD21517,ECE,2020,IOT,1111,7,CN,8
Saanvi Mehta,MT21518,CSAM,2021,888,OOPD,8,523,9
Ananya Mehta,MT21519,CSD,2022,GAME,202,9,AI,10
Pari Mehta,PhD21520,CSB,2023,1111,OS,10,702,6
Navya Mehta,MT21521,CSE,2020,OOPD,401,6,NLP,7
Angel Mehta,MT21522,ECE,2021,202,DBMS,7,920,8
Ira Mehta,PhD21523,CSAM,2022,OS,601,8,SEC,9
Prisha Mehta,MT21524,CSD,2023,401,ML,9,111,10
Anaya Mehta,MT21525,CSB,2020,DBMS,815,10,COA,6
Ravi Mehta,PhD21526,CSE,2021,601,CV,6,333,7
Priya Mehta,MT21527,ECE,2022,ML,1005,7,WEB,8
Amit Mehta,MT21528,CSAM,2023,815,TOC,8,555,9
Sneha Mehta,PhD21529,CSD,2020,CV,222,9,CLOUD,10
Karan Mehta,MT21530,CSB,2021,1005,ALGO,10,777,6
Nisha Mehta,MT21531,CSE,2022,TOC,444,6,CYBER,7
Rahul Mehta,PhD21532,ECE,2023,222,MOBILE,7,999,8
Divya Mehta,MT21533,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Mehta,MT21534,CSD,2021,444,IOT,9,101,10
Rohan Mehta,PhD21535,CSB,2022,MOBILE,888,10,DSA,6
Anjali Mehta,MT21536,CSE,2023,666,GAME,6,303,7
Vikram Mehta,MT21537,ECE,2020,IOT,1111,7,CN,8
Pooja Mehta,PhD21538,CSAM,2021,888,OOPD,8,523,9
Aryan Mehta,MT21539,CSD,2022,GAME,202,9,AI,10
Kavya Mehta,MT21540,CSB,2023,1111,OS,10,702,6
Aakash Mehta,PhD21541,CSE,2020,OOPD,401,6,NLP,7
Simran Mehta,MT21542,ECE,2021,202,DBMS,7,920,8
Varun Mehta,MT21543,CSAM,2022,OS,601,8,SEC,9
Tanvi Mehta,PhD21544,CSD,2023,401,ML,9,111,10
Nikhil Mehta,MT21545,CSB,2020,DBMS,815,10,COA,6
Ritu Mehta,MT21546,CSE,2021,601,CV,6,333,7
Siddharth Mehta,PhD21547,ECE,2022,ML,1005,7,WEB,8
Neha Mehta,MT21548,CSAM,2023,815,TOC,8,555,9
Kunal Mehta,MT21549,CSD,2020,CV,222,9,CLOUD,10
Shruti Mehta,PhD21550,CSB,2021,1005,ALGO,10,777,6
Aarav Desai,MT21551,CSE,2022,TOC,444,6,CYBER,7
Vivaan Desai,MT21552,ECE,2023,222,MOBILE,7,999,8
Aditya Desai,PhD21553,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Desai,MT21554,CSD,2021,444,IOT,9,101,10
Arjun Desai,MT21555,CSB,2022,MOBILE,888,10,DSA,6
Sai Desai,PhD21556,CSE,2023,666,GAME,6,303,7
Arnav Desai,MT21557,ECE,2020,IOT,1111,7,CN,8
Ayaan Desai,MT21558,CSAM,2021,888,OOPD,8,523,9
Krishna Desai,PhD21559,CSD,2022,GAME,202,9,AI,10
Ishaan Desai,MT21560,CSB,2023,1111,OS,10,702,6
Shaurya Desai,MT21561,CSE,2020,OOPD,401,6,NLP,7
Atharv Desai,PhD21562,ECE,2021,202,DBMS,7,920,8
Advik Desai,MT21563,CSAM,2022,OS,601,8,SEC,9
Pranav Desai,MT21564,CSD,2023,401,ML,9,111,10
Reyansh Desai,PhD21565,CSB,2020,DBMS,815,10,COA,6
Aaradhya Desai,MT21566,CSE,2021,601,CV,6,333,7
Diya Desai,MT21567,ECE,2022,ML,1005,7,WEB,8
Saanvi Desai,PhD21568,CSAM,2023,815,TOC,8,555,9
Ananya Desai,MT21569,CSD,2020,CV,222,9,CLOUD,10
Pari Desai,MT21570,CSB,2021,1005,ALGO,10,777,6
Navya Desai,PhD21571,CSE,2022,TOC,444,6,CYBER,7
Angel Desai,MT21572,ECE,2023,222,MOBILE,7,999,8
Ira Desai,MT21573,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Desai,PhD21574,CSD,2021,444,IOT,9,101,10
Anaya Desai,MT21575,CSB,2022,MOBILE,888,10,DSA,6
Ravi Desai,MT21576,CSE,2023,666,GAME,6,303,7
Priya Desai,PhD21577,ECE,2020,IOT,1111,7,CN,8
Amit Desai,MT21578,CSAM,2021,888,OOPD,8,523,9
Sneha Desai,MT21579,CSD,2022,GAME,202,9,AI,10
Karan Desai,PhD21580,CSB,2023,1111,OS,10,702,6
Nisha Desai,MT21581,CSE,2020,OOPD,401,6,NLP,7
Rahul Desai,MT21582,ECE,2021,202,DBMS,7,920,8
Divya Desai,PhD21583,CSAM,2022,OS,601,8,SEC,9
Meera Desai,MT21584,CSD,2023,401,ML,9,111,10
Rohan Desai,MT21585,CSB,2020,DBMS,815,10,COA,6
Anjali Desai,PhD21586,CSE,2021,601,CV,6,333,7
Vikram Desai,MT21587,ECE,2022,ML,1005,7,WEB,8
Pooja Desai,MT21588,CSAM,2023,815,TOC,8,555,9
Aryan Desai,PhD21589,CSD,2020,CV,222,9,CLOUD,10
Kavya Desai,MT21590,CSB,2021,1005,ALGO,10,777,6
Aakash Desai,MT21591,CSE,2022,TOC,444,6,CYBER,7
Simran Desai,PhD21592,ECE,2023,222,MOBILE,7,999,8
Varun Desai,MT21593,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Desai,MT21594,CSD,2021,444,IOT,9,101,10
Nikhil Desai,PhD21595,CSB,2022,MOBILE,888,10,DSA,6
Ritu Desai,MT21596,CSE,2023,666,GAME,6,303,7
Siddharth Desai,MT21597,ECE,2020,IOT,1111,7,CN,8
Neha Desai,PhD21598,CSAM,2021,888,OOPD,8,523,9
Kunal Desai,MT21599,CSD,2022,GAME,202,9,AI,10
Shruti Desai,MT21600,CSB,2023,1111,OS,10,702,6
Aarav Shah,2021005,CS,2020,OOPD,401,6,NLP,7
Vivaan Shah,MT22002,ECE,2021,202,DBMS,7,920,8
Aditya Shah,MT22003,CSAM,2022,OS,601,8,SEC,9
Vihaan Shah,PhD22004,CSD,2023,401,ML,9,111,10
Arjun Shah,MT22005,CSB,2020,DBMS,815,10,COA,6
Sai Shah,MT22006,CSE,2021,601,CV,6,333,7
Arnav Shah,PhD22007,ECE,2022,ML,1005,7,WEB,8
Ayaan Shah,MT22008,CSAM,2023,815,TOC,8,555,9
Krishna Shah,MT22009,CSD,2020,CV,222,9,CLOUD,10
Ishaan Shah,PhD22010,CSB,2021,1005,ALGO,10,777,6
Shaurya Shah,MT22011,CSE,2022,TOC,444,6,CYBER,7
Atharv Shah,MT22012,ECE,2023,222,MOBILE,7,999,8
Advik Shah,PhD22013,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Shah,MT22014,CSD,2021,444,IOT,9,101,10
Reyansh Shah,MT22015,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Shah,PhD22016,CSE,2023,666,GAME,6,303,7
Diya Shah,MT22017,ECE,2020,IOT,1111,7,CN,8
Saanvi Shah,MT22018,CSAM,2021,888,OOPD,8,523,9
Ananya Shah,PhD22019,CSD,2022,GAME,202,9,AI,10
Pari Shah,MT22020,CSB,2023,1111,OS,10,702,6
Navya Shah,MT22021,CSE,2020,OOPD,401,6,NLP,7
Angel Shah,PhD22022,ECE,2021,202,DBMS,7,920,8
Ira Shah,MT22023,CSAM,2022,OS,601,8,SEC,9
Prisha Shah,MT22024,CSD,2023,401,ML,9,111,10
Anaya Shah,PhD22025,CSB,2020,DBMS,815,10,COA,6
Ravi Shah,MT22026,CSE,2021,601,CV,6,333,7
Priya Shah,MT22027,ECE,2022,ML,1005,7,WEB,8
Amit Shah,PhD22028,CSAM,2023,815,TOC,8,555,9
Sneha Shah,MT22029,CSD,2020,CV,222,9,CLOUD,10
Karan Shah,MT22030,CSB,2021,1005,ALGO,10,777,6
Nisha Shah,PhD22031,CSE,2022,TOC,444,6,CYBER,7
Rahul Shah,MT22032,ECE,2023,222,MOBILE,7,999,8
Divya Shah,MT22033,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Shah,PhD22034,CSD,2021,444,IOT,9,101,10
Rohan Shah,MT22035,CSB,2022,MOBILE,888,10,DSA,6
Anjali Shah,MT22036,CSE,2023,666,GAME,6,303,7
Vikram Shah,PhD22037,ECE,2020,IOT,1111,7,CN,8
Pooja Shah,MT22038,CSAM,2021,888,OOPD,8,523,9
Aryan Shah,MT22039,CSD,2022,GAME,202,9,AI,10
Kavya Shah,PhD22040,CSB,2023,1111,OS,10,702,6
Aakash Shah,MT22041,CSE,2020,OOPD,401,6,NLP,7
Simran Shah,MT22042,ECE,2021,202,DBMS,7,920,8
Varun Shah,PhD22043,CSAM,2022,OS,601,8,SEC,9
Tanvi Shah,MT22044,CSD,2023,401,ML,9,111,10
Nikhil Shah,MT22045,CSB,2020,DBMS,815,10,COA,6
Ritu Shah,PhD22046,CSE,2021,601,CV,6,333,7
Siddharth Shah,MT22047,ECE,2022,ML,1005,7,WEB,8
Neha Shah,MT22048,CSAM,2023,815,TOC,8,555,9
Kunal Shah,PhD22049,CSD,2020,CV,222,9,CLOUD,10
Shruti Shah,MT22050,CSB,2021,1005,ALGO,10,777,6
Aarav Agarwal,MT22051,CSE,2022,TOC,444,6,CYBER,7
Vivaan Agarwal,PhD22052,ECE,2023,222,MOBILE,7,999,8
Aditya Agarwal,MT22053,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Agarwal,MT22054,CSD,2021,444,IOT,9,101,10
Arjun Agarwal,PhD22055,CSB,2022,MOBILE,888,10,DSA,6
Sai Agarwal,MT22056,CSE,2023,666,GAME,6,303,7
Arnav Agarwal,MT22057,ECE,2020,IOT,1111,7,CN,8
Ayaan Agarwal,PhD22058,CSAM,2021,888,OOPD,8,523,9
Krishna Agarwal,MT22059,CSD,2022,GAME,202,9,AI,10
Ishaan Agarwal,MT22060,CSB,2023,1111,OS,10,702,6
Shaurya Agarwal,PhD22061,CSE,2020,OOPD,401,6,NLP,7
Atharv Agarwal,MT22062,ECE,2021,202,DBMS,7,920,8
Advik Agarwal,MT22063,CSAM,2022,OS,601,8,SEC,9
Pranav Agarwal,PhD22064,CSD,2023,401,ML,9,111,10
Reyansh Agarwal,MT22065,CSB,2020,DBMS,815,10,COA,6
Aaradhya Agarwal,MT22066,CSE,2021,601,CV,6,333,7
Diya Agarwal,PhD22067,ECE,2022,ML,1005,7,WEB,8
Saanvi Agarwal,MT22068,CSAM,2023,815,TOC,8,555,9
Ananya Agarwal,MT22069,CSD,2020,CV,222,9,CLOUD,10
Pari Agarwal,PhD22070,CSB,2021,1005,ALGO,10,777,6
Navya Agarwal,MT22071,CSE,2022,TOC,444,6,CYBER,7
Angel Agarwal,MT22072,ECE,2023,222,MOBILE,7,999,8
Ira Agarwal,PhD22073,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Agarwal,MT22074,CSD,2021,444,IOT,9,101,10
Anaya Agarwal,MT22075,CSB,2022,MOBILE,888,10,DSA,6
Ravi Agarwal,PhD22076,CSE,2023,666,GAME,6,303,7
Priya Agarwal,MT22077,ECE,2020,IOT,1111,7,CN,8
Amit Agarwal,MT22078,CSAM,2021,888,OOPD,8,523,9
Sneha Agarwal,PhD22079,CSD,2022,GAME,202,9,AI,10
Karan Agarwal,MT22080,CSB,2023,1111,OS,10,702,6
Nisha Agarwal,MT22081,CSE,2020,OOPD,401,6,NLP,7
Rahul Agarwal,PhD22082,ECE,2021,202,DBMS,7,920,8
Divya Agarwal,MT22083,CSAM,2022,OS,601,8,SEC,9
Meera Agarwal,MT22084,CSD,2023,401,ML,9,111,10
Rohan Agarwal,PhD22085,CSB,2020,DBMS,815,10,COA,6
Anjali Agarwal,MT22086,CSE,2021,601,CV,6,333,7
Vikram Agarwal,MT22087,ECE,2022,ML,1005,7,WEB,8
Pooja Agarwal,PhD22088,CSAM,2023,815,TOC,8,555,9
Aryan Agarwal,MT22089,CSD,2020,CV,222,9,CLOUD,10
Kavya Agarwal,MT22090,CSB,2021,1005,ALGO,10,777,6
Aakash Agarwal,PhD22091,CSE,2022,TOC,444,6,CYBER,7
Simran Agarwal,MT22092,ECE,2023,222,MOBILE,7,999,8
Varun Agarwal,MT22093,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Agarwal,PhD22094,CSD,2021,444,IOT,9,101,10
Nikhil Agarwal,MT22095,CSB,2022,MOBILE,888,10,DSA,6
Ritu Agarwal,MT22096,CSE,2023,666,GAME,6,303,7
Siddharth Agarwal,PhD22097,ECE,2020,IOT,1111,7,CN,8
Neha Agarwal,MT22098,CSAM,2021,888,OOPD,8,523,9
Kunal Agarwal,MT22099,CSD,2022,GAME,202,9,AI,10
Shruti Agarwal,PhD22100,CSB,2023,1111,OS,10,702,6
Aarav Chopra,MT22101,CSE,2020,OOPD,401,6,NLP,7
Vivaan Chopra,MT22102,ECE,2021,202,DBMS,7,920,8
Aditya Chopra,PhD22103,CSAM,2022,OS,601,8,SEC,9
Vihaan Chopra,MT22104,CSD,2023,401,ML,9,111,10
Arjun Chopra,MT22105,CSB,2020,DBMS,815,10,COA,6
Sai Chopra,PhD22106,CSE,2021,601,CV,6,333,7
Arnav Chopra,MT22107,ECE,2022,ML,1005,7,WEB,8
Ayaan Chopra,MT22108,CSAM,2023,815,TOC,8,555,9
Krishna Chopra,PhD22109,CSD,2020,CV,222,9,CLOUD,10
Ishaan Chopra,MT22110,CSB,2021,1005,ALGO,10,777,6
Shaurya Chopra,MT22111,CSE,2022,TOC,444,6,CYBER,7
Atharv Chopra,PhD22112,ECE,2023,222,MOBILE,7,999,8
Advik Chopra,MT22113,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Chopra,MT22114,CSD,2021,444,IOT,9,101,10
Reyansh Chopra,PhD22115,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Chopra,MT22116,CSE,2023,666,GAME,6,303,7
Diya Chopra,MT22117,ECE,2020,IOT,1111,7,CN,8
Saanvi Chopra,PhD22118,CSAM,2021,888,OOPD,8,523,9
Ananya Chopra,MT22119,CSD,2022,GAME,202,9,AI,10
Pari Chopra,MT22120,CSB,2023,1111,OS,10,702,6
Navya Chopra,PhD22121,CSE,2020,OOPD,401,6,NLP,7
Angel Chopra,MT22122,ECE,2021,202,DBMS,7,920,8
Ira Chopra,MT22123,CSAM,2022,OS,601,8,SEC,9
Prisha Chopra,PhD22124,CSD,2023,401,ML,9,111,10
Anaya Chopra,MT22125,CSB,2020,DBMS,815,10,COA,6
Ravi Chopra,MT22126,CSE,2021,601,CV,6,333,7
Priya Chopra,PhD22127,ECE,2022,ML,1005,7,WEB,8
Amit Chopra,MT22128,CSAM,2023,815,TOC,8,555,9
Sneha Chopra,MT22129,CSD,2020,CV,222,9,CLOUD,10
Karan Chopra,PhD22130,CSB,2021,1005,ALGO,10,777,6
Nisha Chopra,MT22131,CSE,2022,TOC,444,6,CYBER,7
Rahul Chopra,MT22132,ECE,2023,222,MOBILE,7,999,8
Divya Chopra,PhD22133,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Chopra,MT22134,CSD,2021,444,IOT,9,101,10
Rohan Chopra,MT22135,CSB,2022,MOBILE,888,10,DSA,6
Anjali Chopra,PhD22136,CSE,2023,666,GAME,6,303,7
Vikram Chopra,MT22137,ECE,2020,IOT,1111,7,CN,8
Pooja Chopra,MT22138,CSAM,2021,888,OOPD,8,523,9
Aryan Chopra,PhD22139,CSD,2022,GAME,202,9,AI,10
Kavya Chopra,MT22140,CSB,2023,1111,OS,10,702,6
Aakash Chopra,MT22141,CSE,2020,OOPD,401,6,NLP,7
Simran Chopra,PhD22142,ECE,2021,202,DBMS,7,920,8
Varun Chopra,MT22143,CSAM,2022,OS,601,8,SEC,9
Tanvi Chopra,MT22144,CSD,2023,401,ML,9,111,10
Nikhil Chopra,PhD22145,CSB,2020,DBMS,815,10,COA,6
Ritu Chopra,MT22146,CSE,2021,601,CV,6,333,7
Siddharth Chopra,MT22147,ECE,2022,ML,1005,7,WEB,8
Neha Chopra,PhD22148,CSAM,2023,815,TOC,8,555,9
Kunal Chopra,MT22149,CSD,2020,CV,222,9,CLOUD,10
Shruti Chopra,MT22150,CSB,2021,1005,ALGO,10,777,6
Aarav Malhotra,2021006,CS,2022,TOC,444,6,CYBER,7
Vivaan Malhotra,MT22152,ECE,2023,222,MOBILE,7,999,8
Aditya Malhotra,MT22153,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Malhotra,PhD22154,CSD,2021,444,IOT,9,101,10
Arjun Malhotra,MT22155,CSB,2022,MOBILE,888,10,DSA,6
Sai Malhotra,MT22156,CSE,2023,666,GAME,6,303,7
Arnav Malhotra,PhD22157,ECE,2020,IOT,1111,7,CN,8
Ayaan Malhotra,MT22158,CSAM,2021,888,OOPD,8,523,9
Krishna Malhotra,MT22159,CSD,2022,GAME,202,9,AI,10
Ishaan Malhotra,PhD22160,CSB,2023,1111,OS,10,702,6
Shaurya Malhotra,MT22161,CSE,2020,OOPD,401,6,NLP,7
Atharv Malhotra,MT22162,ECE,2021,202,DBMS,7,920,8
Advik Malhotra,PhD22163,CSAM,2022,OS,601,8,SEC,9
Pranav Malhotra,MT22164,CSD,2023,401,ML,9,111,10
Reyansh Malhotra,MT22165,CSB,2020,DBMS,815,10,COA,6
Aaradhya Malhotra,PhD22166,CSE,2021,601,CV,6,333,7
Diya Malhotra,MT22167,ECE,2022,ML,1005,7,WEB,8
Saanvi Malhotra,MT22168,CSAM,2023,815,TOC,8,555,9
Ananya Malhotra,PhD22169,CSD,2020,CV,222,9,CLOUD,10
Pari Malhotra,MT22170,CSB,2021,1005,ALGO,10,777,6
Navya Malhotra,MT22171,CSE,2022,TOC,444,6,CYBER,7
Angel Malhotra,PhD22172,ECE,2023,222,MOBILE,7,999,8
Ira Malhotra,MT22173,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Malhotra,MT22174,CSD,2021,444,IOT,9,101,10
Anaya Malhotra,PhD22175,CSB,2022,MOBILE,888,10,DSA,6
Ravi Malhotra,MT22176,CSE,2023,666,GAME,6,303,7
Priya Malhotra,MT22177,ECE,2020,IOT,1111,7,CN,8
Amit Malhotra,PhD22178,CSAM,2021,888,OOPD,8,523,9
Sneha Malhotra,MT22179,CSD,2022,GAME,202,9,AI,10
Karan Malhotra,MT22180,CSB,2023,1111,OS,10,702,6
Nisha Malhotra,PhD22181,CSE,2020,OOPD,401,6,NLP,7
Rahul Malhotra,MT22182,ECE,2021,202,DBMS,7,920,8
Divya Malhotra,MT22183,CSAM,2022,OS,601,8,SEC,9
Meera Malhotra,PhD22184,CSD,2023,401,ML,9,111,10
Rohan Malhotra,MT22185,CSB,2020,DBMS,815,10,COA,6
Anjali Malhotra,MT22186,CSE,2021,601,CV,6,333,7
Vikram Malhotra,PhD22187,ECE,2022,ML,1005,7,WEB,8
Pooja Malhotra,MT22188,CSAM,2023,815,TOC,8,555,9
Aryan Malhotra,MT22189,CSD,2020,CV,222,9,CLOUD,10
Kavya Malhotra,PhD22190,CSB,2021,1005,ALGO,10,777,6
Aakash Malhotra,MT22191,CSE,2022,TOC,444,6,CYBER,7
Simran Malhotra,MT22192,ECE,2023,222,MOBILE,7,999,8
Varun Malhotra,PhD22193,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Malhotra,MT22194,CSD,2021,444,IOT,9,101,10
Nikhil Malhotra,MT22195,CSB,2022,MOBILE,888,10,DSA,6
Ritu Malhotra,PhD22196,CSE,2023,666,GAME,6,303,7
Siddharth Malhotra,MT22197,ECE,2020,IOT,1111,7,CN,8
Neha Malhotra,MT22198,CSAM,2021,888,OOPD,8,523,9
Kunal Malhotra,PhD22199,CSD,2022,GAME,202,9,AI,10
Shruti Malhotra,MT22200,CSB,2023,1111,OS,10,702,6
Aarav Kapoor,MT22201,CSE,2020,OOPD,401,6,NLP,7
